ID	adj.P.Val	P.Value	t	B	logFC	AveExpr
ILMN_1671928	0.0123054859540364	9.37132431196134e-07	7.62454389538881	5.79884027412753	1.99184298692407	11.7256011161977
ILMN_1783247	0.0128930046411322	2.94562591755363e-06	-6.96381908652111	4.31270435524669	-1.73519445159404	6.68650916381698
ILMN_1784515	0.0150325792363065	5.72408012958133e-06	-6.59532721072218	4.22417470800397	-1.8170208559253	13.0068780634845
ILMN_1782412	0.0128930046411322	2.61420608893494e-06	7.03113215926249	4.19642558950099	2.65254844752346	6.8735677883606
ILMN_1714222	0.0150325792363065	4.97832585897197e-06	-6.67190344122565	3.72832689226732	-1.95779743363356	5.84473318894653
ILMN_1740426	0.0218500917051709	9.98404921415166e-06	-6.29441038013159	3.52673878895914	-2.00987400090817	8.27793065730022
ILMN_1660436	0.0306257323457039	1.67840849921195e-05	-6.01928201218321	3.18970318369853	-1.03997918235558	11.5488071179361
ILMN_1727098	0.0306257323457039	1.86585834106794e-05	5.96386073487319	2.62872540085304	1.64540477792458	6.26985356751408
ILMN_1794782	0.036019207231404	3.01737323543861e-05	-5.71490102028684	2.54789967546186	-1.73898206553119	8.11968856940017
ILMN_1701933	0.036019207231404	2.9352617228285e-05	5.72907714474276	2.5350245386247	2.33136384695858	8.69999845432077
ILMN_1753278	0.0367730803412669	3.40686717015199e-05	5.65268055234868	2.43354816679824	2.30745529751984	9.03169960286732
ILMN_1782305	0.036019207231404	2.7755417657535e-05	-5.75786708437378	2.40504412784468	-2.3327587946541	6.03428027580932
ILMN_1717261	0.0367730803412669	3.64062176861221e-05	-5.61877929887604	2.36367357789384	-1.38736418574434	7.84468705385419
ILMN_1790052	0.0405893477130969	4.71247027694825e-05	5.48766021938096	2.18344643128633	1.43336705989078	9.4014788123219
ILMN_1797566	0.0405893477130969	4.68271872296491e-05	5.49086490633813	2.10219219787406	1.36473657301866	7.99595974247395
ILMN_1755649	0.0417798126154472	5.78748663757034e-05	5.38403736262386	1.94983781375472	1.27139828560065	8.37293942236598
