ID	miRNA_ID	adj.P.Val	P.Value	t	B	logFC	AveExpr
ILMN_3166992	hsa-miR-139-5p	3.30048473435836e-10	2.88251941865359e-13	-8.15178139653989	19.7067019612576	-0.247791635066188	13.147257070602
ILMN_3167463	hsa-miR-373	8.76405010701578e-10	1.53083844664031e-12	7.8428997706436	18.1346244388462	1.37279214782234	8.7626766961309
ILMN_3168388	hsa-miR-7	3.03860596587523e-09	7.96141301102679e-12	-7.53402705034106	16.5412765292635	-0.539033958912157	12.0839203193871
ILMN_3167743	hsa-miR-34c-5p	3.30699948379439e-08	1.15528366246092e-10	7.02294485729607	13.9518353334828	0.736911723281128	9.37428129361623
ILMN_3167685	hsa-miR-139-3p	1.57365963125669e-07	6.87187611902484e-10	-6.67385437596819	12.2283188199163	-0.789123776608434	10.4387273059155
ILMN_3168464	hsa-miR-514	2.44868156577319e-07	1.28315191219556e-09	6.54971757600714	11.6441042863172	1.30292719141775	8.6253591525208
ILMN_3167698	hsa-miR-184	2.79215308845173e-07	1.70699315451198e-09	6.4926250927591	11.0773303287246	0.642963509249129	6.34734964572039
ILMN_3168643	hsa-miR-10a*	6.57482116089341e-07	4.59376150979452e-09	-6.29275150021869	10.4386931087408	-1.0023851739751	8.95100129454933
ILMN_3167552	hsa-miR-10a	1.0332041779669e-06	8.1212555473381e-09	-6.17632466874405	9.89725288163284	-1.07905676657439	11.3093506364679
ILMN_3168703	hsa-miR-223*	1.64323349630708e-06	1.4611384445617e-08	-6.0551705456723	9.32410026153319	-0.724721696549265	7.65692422456542
ILMN_3167703	hsa-miR-150	1.64323349630708e-06	1.57865226719457e-08	-6.03912270960932	8.592919933887	-0.273975094466138	14.0862333185796
ILMN_3168577	hsa-miR-181a-2*	3.72781286276839e-06	3.90687810945159e-08	5.84946938748428	8.33379106877502	0.263031187545593	12.9147627685859
ILMN_3168697	hsa-miR-1268	3.74834794282093e-06	4.25576622329013e-08	-5.83140253513798	8.31923098048169	-0.874537278656248	7.962963356689
